"Number","Valid from","Latitude [°]","Longitude [°]","Altitude [m]","Slope [°]","Orientation [°]","Locationclass","Surrounding area"
86,2007-01-01 00:00:00,46.91739054253075,15.798499503595984,317.00,0.0000,,"at the base of the slope","partially tilled area"
86,2013-05-02 12:29:00,46.9173620000000,15.7984790000000,317.00,0.0000,,"at the base of the slope","partially tilled area"
87,2007-01-01 00:00:00,46.9192708269327,15.81477721334224,353.00,8.0000,250.00,"hilltop","untilled area"
87,2012-10-05 13:59:00,46.9192010000000,15.8149050000000,353.00,8.0000,250.00,"hilltop","untilled area"
87,2021-03-26 00:00:00,46.9188040000000,15.8152630000000,351.00,8.0000,250.00,"hilltop","untilled area"
88,2007-01-01 00:00:00,46.91631181430513,15.83368494683004,311.00,19.000,0.0000,"at the base of the slope","partially tilled area"
89,2007-01-01 00:00:00,46.91917219887151,15.855051988448825,338.00,4.0000,250.00,"lower slope","untilled area"
89,2015-05-11 11:16:00,46.9184040000000,15.8554450000000,337.00,7.0000,270.00,"lower slope","untilled area"
90,2007-01-01 00:00:00,46.91918276097068,15.87069986743128,324.00,0.0000,,"located in the valley","untilled area"
91,2007-01-01 00:00:00,46.91983335747043,15.89041709381228,317.00,18.000,250.00,"lower slope","partially tilled area"
92,2007-01-01 00:00:00,46.922043711942834,15.907454728738353,326.00,10.000,130.00,"lower slope","tilled area"
93,2007-01-01 00:00:00,46.91923479278418,15.9308218462816,355.00,4.0000,140.00,"upper slope","partially tilled area"
94,2007-01-01 00:00:00,46.92006545230872,15.9528987424219,370.00,30.000,240.00,"upper slope","partially tilled area"
95,2007-01-01 00:00:00,46.91901607385636,15.967586924295766,390.00,10.000,110.00,"hilltop","partially tilled area"
96,2007-01-01 00:00:00,46.91797654204826,15.977645680526873,284.00,0.0000,,"located in the valley","untilled area"
96,2012-03-12 00:00:00,46.9180110000000,15.9775140000000,284.00,0.0000,,"located in the valley","untilled area"
97,2007-01-01 00:00:00,46.91653745903917,15.99978289243865,392.00,26.000,70.000,"upper slope","partially tilled area"
98,2007-01-01 00:00:00,46.92024770600257,16.020519820561525,318.00,10.000,310.00,"upper slope","untilled area"
99,2007-01-01 00:00:00,46.921398065505784,16.03336802260821,270.00,0.0000,,"located in the valley","untilled area"
99,2008-10-29 00:00:00,46.921346999999884,16.033370000000104,270.00,0.0000,,"located in the valley","untilled area"
100,2007-01-01 00:00:00,46.90307159312285,15.78141293735814,350.00,32.000,190.00,"upper slope","untilled area"
101,2007-01-01 00:00:00,46.90473188242663,15.796820702449777,298.00,0.0000,,"located in the valley","partially tilled area"
101,2009-12-31 23:00:00,46.90473188242663,15.796820702449777,298.00,0.0000,,"located in the valley","partially tilled area"
